Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M,Deaths/1M,TotalTests,Tests/1M,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
China,91564,30,4636,,86425,28,503,21,64,3,160000000,111163,1439323776,Asia,15719,310467,9,0.02,,0.3
USA,34401712,7782,617083,170,28694843,18914,5089786,3989,103347,1854,498689211,1498123,332876117,North America,10,539,1,23,0.5,15290
India,29881352,58588,386740,1239,28758447,87568,736165,8944,21450,278,389207637,279385,1393086773,Asia,47,3602,4,42,0.9,528
Brazil,17883750,81574,500868,2247,16183849,46881,1199033,8318,83562,2340,52714701,246310,214017366,South America,12,427,4,381,10,5603
France,5755496,2624,110724,22,5555411,8485,89361,1703,87987,1693,90467735,1383023,65413043,Europe,11,591,1,40,0.3,1366
Turkey,5365208,5480,49122,51,5228419,4195,87667,829,62962,576,58339486,684624,85213922,Asia,16,1735,1,64,0.6,1029
Russia,5299215,17906,128911,466,4861343,10684,308961,2300,36297,883,144800000,991815,145994938,Europe,28,1133,1,123,3,2116
UK,4620968,10321,127970,14,4299835,2078,193163,210,67726,1876,200024844,2931615,68230263,Europe,15,533,0,151,0.2,2831
Argentina,4258394,15631,88742,495,3868105,23776,301547,7386,93395,1946,15791124,346329,45595737,South America,11,514,3,343,11,6613
Italy,4252095,1197,127253,28,4035692,4087,89150,394,70427,2108,69765699,1155523,60375868,Europe,14,474,1,20,0.5,1477
Colombia,3917348,28734,99335,589,3644287,27607,173726,8155,76205,1932,18772724,365187,51405720,South America,13,517,3,559,11,3380
Spain,3757442,,80652,,3544205,,132585,793,80335,1724,51240666,1095535,46772280,Europe,12,580,1,,,2835
Germany,3729557,974,90953,41,3601200,3100,37404,1210,44377,1082,63091197,750704,84042690,Europe,23,924,1,12,0.5,445
Iran,3086974,6448,82854,108,2736013,13401,268107,3307,36305,974,22194745,261026,85028735,Asia,28,1026,4,76,1,3153
Poland,2878634,168,74823,41,2650194,315,153617,237,76141,1979,16924814,447669,37806538,Europe,13,505,2,4,1,4063
Mexico,2471741,4098,230959,167,1966702,2402,274080,4798,18979,1773,7308357,56115,130238690,North America,53,564,18,31,1,2104
Ukraine,2229044,852,51992,40,2150708,2736,26344,177,51267,1196,10656207,245086,43479490,Europe,20,836,4,20,0.9,606
Peru,2026729,3550,190202,269,N/A,N/A,N/A,2515,60655,5692,13730352,410913,33414233,South America,16,176,2,106,8,3467
Indonesia,1976172,12906,54291,248,1786143,7016,135738,,7152,196,18581438,67248,276311954,Asia,140,5089,15,47,0.9,491
South Africa,1810164,13575,58590,149,1640849,8667,110725,546,30155,976,12493891,208130,60029172,Africa,33,1025,5,226,2,1845
Netherlands,1678282,686,17726,3,1597777,4630,62779,208,97736,1032,14444249,841176,17171498,Europe,10,969,1,40,0.2,3656
Czechia,1665961,147,30278,1,1631662,21,4021,14,155288,2822,27838628,2594908,10728175,Europe,6,354,0,14,0.09,375
Chile,1511275,6274,31392,133,1439182,7667,40701,3275,78408,1629,16361194,848853,19274476,South America,13,614,1,326,7,2112
Canada,1408123,854,26054,31,1369844,1395,12225,567,36996,685,36104847,948597,38061324,North America,27,1461,1,22,0.8,321
Philippines,1353220,6959,23538,153,1270243,9407,59439,2029,12193,212,14339573,129202,110986082,Asia,82,4715,8,63,1,536
Iraq,1283305,3608,16860,26,1196114,3829,70331,498,31232,410,11232559,273367,41089670,Asia,32,2437,4,88,0.6,1712
Sweden,1084636,,14537,,1040578,,29521,79,106755,1431,10423085,1025890,10160042,Europe,9,699,1,,,2906
Romania,1080203,63,32308,6,1044944,25,2951,164,56515,1690,9555982,499960,19113480,Europe,18,592,2,3,0.3,154
Belgium,1078679,428,25125,8,1007785,,45769,212,92683,2159,14726160,1265316,11638325,Europe,11,463,1,37,0.7,3933
Pakistan,947218,991,21940,27,889787,1282,35491,2296,4210,98,14072605,62540,225016891,Asia,238,10256,16,4,0.1,158
Portugal,864109,1183,17062,1,819324,884,27723,99,84984,1678,12598069,1238997,10167955,Europe,12,596,1,116,0.1,2727
Bangladesh,848027,3057,13466,67,780146,1725,54415,1192,5100,81,6305503,37923,166271404,Asia,196,12347,26,18,0.4,327
Israel,839830,61,6428,,833061,,341,25,90053,689,14758111,1582470,9326000,Asia,11,1451,1,7,,37
Hungary,807428,,29950,,734627,,42851,43,83787,3108,6033519,626103,9636629,Europe,12,322,2,,,4447
Japan,782491,1623,14365,45,746431,3583,21695,740,6205,114,15769707,125055,126101993,Asia,161,8778,8,13,0.4,172
Jordan,745978,311,9656,9,729663,295,6659,470,72419,937,7657848,743423,10300800,Asia,14,1067,1,30,0.9,646
Serbia,715693,89,6997,7,705482,243,3214,15,82232,804,4329845,497493,8703326,Europe,12,1244,2,10,0.8,369
Switzerland,701627,,10869,,674103,,16655,65,80502,1247,8084820,927617,8715690,Europe,12,802,1,,,1911
Malaysia,691115,5911,4348,72,622244,6918,64523,886,21093,133,13771611,420308,32765530,Asia,47,7536,2,180,2,1969
Austria,649445,136,10679,2,635886,342,2880,83,71714,1179,50663929,5594515,9056001,Europe,14,848,0,15,0.2,318
Nepal,619635,1688,8675,34,553342,3660,57618,,20905,293,3262589,110070,29640965,Asia,48,3417,9,57,1,1944
UAE,610179,2109,1752,5,589235,2075,19192,,60984,175,54780525,5475011,10005556,Asia,16,5711,0,211,0.5,1918
Lebanon,543371,104,7819,4,529618,390,5934,67,79956,1151,4599186,676762,6795874,Asia,13,869,1,15,0.6,873
Morocco,526363,439,9237,4,513382,445,3744,108,14099,247,6704455,179589,37332178,Africa,71,4042,6,12,0.1,100
Saudi Arabia,473112,1153,7663,13,454404,1145,11045,1496,13389,217,20877124,590820,35335826,Asia,75,4611,2,33,0.4,313
Ecuador,445586,1191,21284,50,407512,,16790,467,24892,1189,1496340,83590,17900999,South America,40,841,12,67,3,938
Bulgaria,421005,41,17989,2,392809,37,10207,207,61035,2608,3062465,443976,6897810,Europe,16,383,2,6,0.3,1480
Bolivia,419313,2118,16009,85,335285,2623,68019,200,35456,1354,1704820,144154,11826396,South America,28,739,7,179,7,5751
Greece,418095,389,12528,20,397658,778,7909,301,40303,1208,10289041,991830,10373795,Europe,25,828,1,37,2,762
Belarus,410096,711,3035,10,402876,674,4185,,43413,321,6627903,701639,9446319,Europe,23,3112,1,75,1,443
Kazakhstan,407531,1148,4226,15,383239,778,20066,221,21457,223,11575012,609431,18993146,Asia,47,4494,2,60,0.8,1056
Paraguay,405075,1683,11521,110,341264,2708,52290,572,56128,1596,1458106,202039,7216962,South America,18,626,5,233,15,7245
Panama,393144,978,6468,3,376215,728,10461,105,89756,1477,2870509,655344,4380153,North America,11,677,2,223,0.7,2388
Slovakia,391297,49,12486,8,377862,103,949,36,71637,2286,2917407,534109,5462198,Europe,14,437,2,9,1,174
Tunisia,381175,2193,13960,86,331910,1579,35305,424,31930,1169,1605326,134474,11937842,Africa,31,855,7,184,7,2957
Croatia,359115,84,8169,1,350280,117,666,24,88002,2002,2106145,516115,4080766,Europe,11,500,2,21,0.2,163
Georgia,358360,769,5148,17,343837,460,9375,,90000,1293,5525888,1387799,3981763,Asia,11,773,1,193,4,2354
Uruguay,353377,1999,5241,34,320347,3331,27789,397,101389,1504,2652635,761080,3485357,South America,10,665,1,574,10,7973
Costa Rica,350630,,4473,,272128,,74029,472,68229,870,1387706,270035,5138980,North America,15,1149,4,,,14405
Kuwait,337371,1497,1862,11,318419,1388,17090,209,77890,430,2825482,652327,4331387,Asia,13,2326,2,346,3,3946
Azerbaijan,335437,38,4961,,329462,123,1014,,32798,485,3668281,358675,10227316,Asia,30,2062,3,4,,99
Dominican Republic,315815,1784,3754,12,257034,160,55027,491,28834,343,1658225,151397,10952797,North America,35,2918,7,163,1,5024
Palestine,312605,106,3550,2,306240,582,2815,9,59940,681,1873423,359215,5215322,Asia,17,1469,3,20,0.4,540
Denmark,291463,243,2530,2,283587,709,5346,20,50149,435,65050733,11192677,5811901,Europe,20,2297,0,42,0.3,920
Guatemala,279947,1538,8645,50,252995,1158,18307,5,15353,474,1531966,84015,18234344,North America,65,2109,12,84,3,1004
Lithuania,278328,75,4364,4,265507,484,8457,68,103642,1625,3671198,1367058,2685473,Europe,10,615,1,28,1,3149
Egypt,276756,566,15829,38,205157,456,55770,90,2656,152,2869589,27542,104190766,Africa,376,6582,36,5,0.4,535
Ethiopia,275036,137,4280,4,254296,662,16460,212,2337,36,2819655,23957,117697600,Africa,428,27499,42,1,0.03,140
Ireland,268760,393,4941,,252421,469,11398,14,53849,990,4729538,947623,4990951,Europe,19,1010,1,79,,2284
Bahrain,262427,439,1297,11,252848,1063,8282,190,149260,738,4897598,2785592,1758189,Asia,7,1356,0,250,6,4711
Venezuela,259413,1273,2943,18,239480,1239,16990,287,9148,104,3359014,118450,28358019,South America,109,9636,8,45,0.6,599
Slovenia,256956,84,4412,1,250813,247,1731,33,123583,2122,1330775,640038,2079214,Europe,8,471,2,40,0.5,833
Moldova,256103,49,6168,3,249129,63,806,52,63630,1532,1210449,300740,4024897,Europe,16,653,3,12,0.7,200
Honduras,251966,817,6748,29,91468,279,153750,578,25056,671,766284,76200,10056247,North America,40,1490,13,81,3,15289
Oman,242723,,2626,,213880,,26217,382,46398,502,1550000,296294,5231292,Asia,22,1992,3,,,5012
Sri Lanka,237661,2248,2534,54,199393,2134,35734,,11054,118,3743577,174120,21499944,Asia,90,8485,6,105,3,1662
Armenia,224167,81,4496,4,215999,106,3672,,75513,1515,1146453,386194,2968594,Asia,13,660,3,27,1,1237
Qatar,220693,184,582,,218098,197,2013,75,78600,207,2110802,751762,2807805,Asia,13,4824,1,66,,717
Thailand,214449,3667,1609,32,181358,4948,31482,1343,3065,23,8129670,116189,69969167,Asia,326,43486,9,52,0.5,450
Bosnia and Herzegovina,204814,,9630,,179858,,15326,,62806,2953,1022709,313612,3261069,Europe,16,339,3,,,4700
Libya,190426,,3173,,175923,,11330,,27355,456,1084910,155849,6961295,Africa,37,2194,6,,,1628
Kenya,178792,714,3447,10,122631,285,52714,113,3256,63,1901067,34622,54909395,Africa,307,15930,29,13,0.2,960
Nigeria,167206,51,2117,,163550,10,1539,11,792,10,2231409,10573,211044851,Africa,1262,99691,95,0.2,,7
Cuba,166368,1472,1148,16,157285,1325,7935,156,14697,101,4764638,420907,11319933,North America,68,9861,2,130,1,701
North Macedonia,155616,4,5475,1,149790,68,351,25,74697,2628,851408,408684,2083291,Europe,13,381,2,2,0.5,168
S. Korea,150720,482,1997,1,142385,569,6338,151,2937,39,10323154,201185,51311823,Asia,340,25694,5,9,0.02,124
Myanmar,147615,546,3258,7,133527,75,10830,,2696,59,2671271,48780,54761791,Asia,371,16808,21,10,0.1,198
Latvia,136736,84,2493,8,132019,,2224,42,73278,1336,2837238,1520494,1865997,Europe,14,748,1,45,4,1192
Algeria,135586,367,3624,9,94336,243,37626,34,3039,81,230861,5175,44612800,Africa,329,12310,193,8,0.2,843
Albania,132488,4,2454,,129910,7,124,18,46087,854,775041,269602,2874759,Europe,22,1171,4,1,,43
Estonia,130781,30,1267,,126631,145,2883,5,98524,954,1495685,1126780,1327397,Europe,10,1048,1,23,,2172
Norway,129225,130,790,,88952,,39483,7,23658,145,6043353,1106408,5462137,Europe,42,6914,1,24,,7228
Zambia,126973,1816,1595,41,105960,2076,19418,917,6726,84,1763080,93394,18877782,Africa,149,11836,11,96,2,1029
Kyrgyzstan,114300,870,1925,5,104706,404,7669,102,17246,290,1227941,185272,6627792,Asia,58,3443,5,131,0.8,1157
Uzbekistan,105610,391,718,1,101311,293,3581,23,3112,21,1377915,40603,33936316,Asia,321,47265,25,12,0.03,106
Afghanistan,101906,1385,4122,92,63875,449,33909,1124,2562,104,556927,14003,39770634,Asia,390,9648,71,35,2,853
Montenegro,100055,19,1605,,98147,43,303,6,159287,2555,437993,697282,628143,Europe,6,391,1,30,,482
Ghana,94913,,793,,92881,,1239,9,2994,25,1230125,38810,31696396,Africa,334,39970,26,,,39
Finland,94269,115,967,,46000,,47302,12,16988,174,5298956,954933,5549036,Europe,59,5738,1,21,,8524
Mongolia,91151,2635,425,14,62472,747,28254,126,27380,128,3133254,941170,3329106,Asia,37,7833,1,792,4,8487
Cameroon,80328,,1313,,78162,,853,152,2955,48,1718937,63242,27180255,Africa,338,20701,16,,,31
El Salvador,76697,,2327,6,71062,,3308,32,11767,357,1035061,158805,6517800,North America,85,2801,6,,0.9,508
Cyprus,73582,62,374,,71989,56,1219,21,60520,308,7438071,6117645,1215839,Asia,17,3251,0,51,,1003
Mozambique,72367,244,847,3,70041,11,1479,17,2255,26,575709,17937,32095333,Africa,444,37893,56,8,0.09,46
Namibia,71761,1649,1134,27,58970,1254,11657,81,27759,439,486946,188361,2585172,Africa,36,2280,5,638,10,4509
Maldives,71709,211,205,2,66090,912,5414,90,130450,373,957365,1741601,549704,Asia,8,2681,1,384,4,9849
Luxembourg,70516,,818,,69294,,404,1,110913,1287,3016850,4745116,635780,Europe,9,777,0,,,635
Uganda,70176,1397,626,42,49327,301,20223,1015,1489,13,1248469,26493,47125042,Africa,672,75280,38,30,0.9,429
Botswana,63247,,940,,58541,,3766,1,26383,392,1244999,519339,2397276,Africa,38,2550,2,,,1571
Singapore,62403,21,34,,62023,36,346,1,10586,6,12809152,2172984,5894730,Asia,94,173374,0,4,,59
Jamaica,49607,43,1031,3,28465,132,20111,7,16682,347,418569,140759,2973647,North America,60,2884,7,14,1,6763
Ivory Coast,48031,24,307,,47420,54,304,,1779,11,654588,24239,27005408,Africa,562,87965,41,0.9,,11
Senegal,42333,74,1158,,40817,60,358,6,2466,67,547064,31867,17167354,Africa,406,14825,31,4,,21
Madagascar,42087,11,896,1,40425,31,766,68,1483,32,210806,7429,28374291,Africa,674,31668,135,0.4,0.04,27
Cambodia,42052,471,414,20,36868,928,4770,,2482,24,1277758,75420,16941827,Asia,403,40922,13,28,1,282
Zimbabwe,41628,293,1666,10,37167,24,2795,10,2762,111,613599,40713,15071278,Africa,362,9046,25,19,0.7,185
Angola,37604,137,856,3,31589,20,5159,18,1111,25,609882,18019,33845950,Africa,900,39540,55,4,0.09,152
DRC,37519,562,873,7,27931,20,8715,,407,9,183579,1992,92171122,Africa,2457,105580,502,6,0.08,95
Sudan,36347,,2737,,30062,,3548,,811,61,232965,5196,44832629,Africa,1233,16380,192,,,79
Malawi,34832,51,1168,2,32847,23,817,22,1777,60,257172,13118,19604395,Africa,563,16785,76,3,0.1,42
Cabo Verde,31964,54,281,,30943,36,740,23,56895,500,163434,290907,561808,Africa,18,1999,3,96,,1317
Malta,30588,,420,,30139,3,29,,69097,949,963044,2175491,442679,Europe,14,1054,0,,,66
Rwanda,30517,469,379,1,26578,185,3560,13,2301,29,1544324,116461,13260472,Africa,435,34988,9,35,0.08,268
Trinidad and Tobago,30513,330,732,19,21285,393,8496,22,21735,521,217021,154588,1403865,North America,46,1918,6,235,14,6052
Australia,30322,9,910,,29272,,140,1,1176,35,19645817,761908,25785033,Australia/Oceania,850,28335,1,0.3,,5
Réunion,28441,,220,,26333,,1888,32,31549,244,102720,113946,901477,Africa,32,4098,9,,,2094
French Guiana,26450,,137,,9995,,16318,36,86406,448,274198,895744,306112,South America,12,2234,1,,,53307
Syria,25076,41,1841,4,21727,10,1508,,1400,103,103566,5783,17908882,Asia,714,9728,173,2,0.2,84
Gabon,24864,32,158,1,24264,99,442,17,10924,69,856066,376099,2276174,Africa,92,14406,3,14,0.4,194
Guinea,23450,,168,,22250,,1032,24,1740,12,462528,34326,13474557,Africa,575,80206,29,,,77
Mauritania,20314,26,480,,19372,42,462,16,4261,101,291515,61153,4766944,Africa,235,9931,16,5,,97
Suriname,19748,172,454,11,15164,197,4130,39,33375,767,74028,125110,591701,South America,30,1303,8,291,19,6980
Mayotte,19389,11,174,1,2964,,16251,6,69461,623,176919,633809,279136,Africa,14,1604,2,39,4,58219
Guyana,18973,136,444,2,17047,152,1482,21,24010,562,175587,222201,790216,South America,42,1780,5,172,3,1875
French Polynesia,18963,,142,,18787,,34,,67132,503,26355,93300,282475,Australia/Oceania,15,1989,11,,,120
Eswatini,18811,11,677,,18005,8,129,10,16054,578,221008,188614,1171745,Africa,62,1731,5,9,,110
Haiti,17239,191,373,4,12645,33,4221,,1494,32,82797,7177,11536474,North America,669,30929,139,17,0.3,366
Papua New Guinea,16933,72,173,,16309,80,451,7,1859,19,130467,14321,9110024,Australia/Oceania,538,52659,70,8,,50
Guadeloupe,16752,,229,,2250,,14273,23,41860,572,212247,530366,400190,North America,24,1748,2,,,35666
Somalia,14852,11,775,,7150,13,6927,,910,47,143202,8775,16318531,Africa,1099,21056,114,0.7,,424
Mali,14380,5,524,,10022,4,3834,,691,25,311377,14963,20810156,Africa,1447,39714,67,0.2,,184
Seychelles,14123,,55,,12505,,1563,,142750,556,21504,217355,98935,Africa,7,1799,5,,,15798
Taiwan,13896,128,538,20,8042,,5316,,582,23,1714353,71855,23858423,Asia,1717,44347,14,5,0.8,223
Andorra,13842,,127,,13650,,65,3,178874,1641,193595,2501745,77384,Europe,6,609,0,,,840
Togo,13715,14,127,,13353,15,235,,1620,15,351939,41575,8465085,Africa,617,66654,24,2,,28
Burkina Faso,13468,6,167,,13290,3,11,,628,8,193665,9027,21453142,Africa,1593,128462,111,0.3,,0.5
Tajikistan,13308,,90,,13218,,0,,1366,9,,,9743460,Asia,732,108261,,,,
Belize,13004,,328,,12551,,125,1,32143,811,145629,359958,404572,North America,31,1233,3,,,309
Vietnam,12900,486,64,2,5054,321,7782,,131,0.7,6282417,63987,98183253,Asia,7611,1534113,16,5,0.02,79
Curaçao,12317,3,125,,12156,5,36,4,74766,759,126028,765007,164741,North America,13,1318,1,18,,219
Congo,12298,,161,,11211,,926,,2177,29,158304,28026,5648494,Africa,459,35084,36,,,164
Bahamas,12295,53,241,1,11230,22,824,3,30980,607,103069,259707,396867,North America,32,1647,4,134,3,2076
Martinique,12178,,98,,98,,11982,5,32476,261,191164,509792,374984,North America,31,3826,2,,,31953
Hong Kong,11886,1,210,,11612,4,64,1,1573,28,16710131,2211606,7555655,Asia,636,35979,0,0.1,,8
Djibouti,11587,1,155,1,11424,3,8,,11566,155,167895,167587,1001836,Africa,86,6463,6,1,1,8
Aruba,11106,3,107,,10970,3,29,14,103597,998,173023,1613960,107204,North America,10,1002,1,28,,271
Lesotho,11081,71,329,2,6445,,4307,,5133,152,105971,49092,2158632,Africa,195,6561,20,33,0.9,1995
South Sudan,10770,,115,,10514,,141,,951,10,174045,15375,11320203,Africa,1051,98437,65,,,12
Equatorial Guinea,8698,,120,,8489,,89,1,6011,83,149330,103190,1447130,Africa,166,12059,10,,,62
Timor-Leste,8678,76,19,,7566,169,1093,,6464,14,92122,68615,1342596,Asia,155,70663,15,57,,814
Benin,8140,,103,,7979,,58,5,655,8,604310,48625,12427935,Africa,1527,120660,21,,,5
Nicaragua,7696,,188,,4225,,3283,,1149,28,,,6700509,North America,871,35641,,,,490
CAR,7101,,98,,6859,,144,2,1446,20,54814,11162,4910566,Africa,692,50108,90,,,29
Yemen,6877,2,1353,1,3855,9,1669,23,226,44,93737,3078,30457162,Asia,4429,22511,325,0.07,0.03,55
Iceland,6627,,30,,6576,,21,1,19299,87,726869,2116806,343380,Europe,52,11446,0,,,61
Gambia,6024,,181,,5827,,16,3,2427,73,81795,32958,2481786,Africa,412,13712,30,,,6
Niger,5469,10,193,,5178,,98,2,218,8,114181,4559,25045000,Africa,4579,129767,219,0.4,,4
Eritrea,5336,51,19,,4782,39,535,,1485,5,23693,6593,3593697,Africa,673,189142,152,14,,149
Saint Lucia,5211,5,80,,5055,2,76,,28254,434,51654,280063,184437,North America,35,2305,4,27,,412
Burundi,5121,,8,,773,,4340,,419,0.7,309390,25297,12230276,Africa,2388,1528785,40,,,355
San Marino,5090,,90,,4999,,1,,149706,2647,67456,1984000,34000,Europe,7,378,1,,,29
Chad,4946,1,174,,4768,,4,,293,10,124026,7348,16877855,Africa,3412,96999,136,0.06,,0.2
Sierra Leone,4702,71,82,,3233,21,1387,,578,10,153646,18892,8132934,Africa,1730,99182,53,9,,171
Gibraltar,4319,1,94,,4208,2,17,,128233,2791,269882,8012886,33681,Europe,8,358,0,30,,505
Channel Islands,4126,,86,,3994,,46,,23522,490,563229,3210965,175408,Europe,43,2040,0,,,262
Barbados,4041,1,47,,3986,6,8,,14045,163,179492,623853,287715,North America,71,6122,2,3,,28
Comoros,3908,3,146,,3745,,17,,4404,165,,,887404,Africa,227,6078,,3,,19
Guinea-Bissau,3825,1,69,,3558,2,198,4,1900,34,71396,35473,2012673,Africa,526,29169,28,0.5,,98
Liechtenstein,3026,,59,,2955,,12,3,79144,1543,49126,1284877,38234,Europe,13,648,1,,,314
Liberia,2834,,95,,2105,,634,2,548,18,114035,22049,5171854,Africa,1825,54441,45,,,123
New Zealand,2714,,26,,2665,,23,,543,5,2216363,443087,5002100,Australia/Oceania,1843,192388,2,,,5
Sint Maarten,2570,6,32,,2477,12,61,2,59292,738,28642,660791,43345,North America,17,1355,2,138,,1407
Monaco,2548,1,33,,2474,1,41,1,64490,835,51953,1314933,39510,Europe,16,1197,1,25,,1038
Bermuda,2504,,33,,2461,,10,7,40351,532,300645,4844815,62055,North America,25,1880,0,,,161
Turks and Caicos,2423,,18,,2389,,16,2,61777,459,94789,2416730,39222,North America,16,2179,0,,,408
Sao Tome and Principe,2362,2,37,,2314,1,11,,10588,166,14270,63970,223074,Africa,94,6029,16,9,,49
St. Vincent Grenadines,2192,9,12,,1934,,246,2,19698,108,53198,478055,111280,North America,51,9273,2,81,,2211
Saint Martin,2133,,12,,1399,,722,7,54273,305,27588,701967,39301,North America,18,3275,1,,,18371
Laos,2050,3,3,,1935,4,112,,278,0.4,281497,38158,7377229,Asia,3599,2459076,26,0.4,,15
Bhutan,1903,14,1,,1544,,358,,2440,1,798573,1024077,779798,Asia,410,779798,1,18,,459
Fiji,1798,150,6,,473,21,1319,2,1992,7,167125,185136,902713,Australia/Oceania,502,150452,5,166,,1461
Mauritius,1701,,18,,1265,,418,,1335,14,358675,281577,1273807,Africa,749,70767,4,,,328
Caribbean Netherlands,1630,1,17,,1599,,14,,61607,643,8550,323154,26458,North America,16,1556,3,38,,529
Isle of Man,1599,,29,,1566,,4,1,18709,339,66925,783051,85467,Europe,53,2947,1,,,47
Antigua and Barbuda,1263,,42,,1221,,0,,12795,425,16700,169181,98711,North America,78,2350,6,,,
St. Barth,1005,,1,,462,,542,,101454,101,26385,2663537,9906,North America,10,9906,0,,,54714
Faeroe Islands,761,1,1,,755,11,5,,15517,20,297359,6063354,49042,Europe,64,49042,0,20,,102
Diamond Princess,712,,13,,699,,0,,,,,,,,,,,,,
Cayman Islands,608,,2,,587,,19,,9148,30,104045,1565387,66466,North America,109,33233,1,,,286
Tanzania,509,,21,,183,,305,7,8,0.3,,,61365916,Africa,120562,2922186,,,,5
Wallis and Futuna,445,,7,,438,,0,,40279,634,20508,1856264,11048,Australia/Oceania,25,1578,1,,,
Saint Kitts and Nevis,330,26,1,,73,3,256,1,6161,19,19633,366547,53562,North America,162,53562,3,485,,4780
Brunei,251,,3,,239,,9,,568,7,136064,308173,441518,Asia,1759,147173,3,,,20
British Virgin Islands,248,,1,,209,,38,,8151,33,39777,1307379,30425,North America,123,30425,1,,,1249
Dominica,191,,,,189,,2,,2647,,17856,247454,72159,North America,378,,4,,,28
Grenada,161,,1,,160,,0,,1424,9,28684,253782,113026,North America,702,113026,4,,,
New Caledonia,128,,,,58,,70,,444,,33057,114723,288145,Australia/Oceania,2251,,9,,,243
Anguilla,109,,,,109,,0,,7203,,22201,1467156,15132,North America,139,,1,,,
Falkland Islands,63,,,,63,,0,,17613,,7307,2042773,3577,South America,57,,0,,,
Macao,53,,,,51,,2,,81,,4483,6815,657861,Asia,12412,,147,,,3
Greenland,49,,,,40,,9,,862,,27387,481614,56865,North America,1161,,2,,,158
Vatican City,27,,,,27,,0,,33624,,,,803,Europe,30,,,,,
Saint Pierre Miquelon,26,,,,25,,1,,4508,,6128,1062598,5767,North America,222,,1,,,173
Montserrat,20,,1,,19,,0,,4004,200,1408,281882,4995,North America,250,4995,4,,,
Solomon Islands,20,,,,20,,0,,28,,4500,6401,703057,Australia/Oceania,35153,,156,,,
Western Sahara,10,,1,,8,,1,,16,2,,,611440,Africa,61144,611440,,,,2
MS Zaandam,9,,2,,7,,0,,,,,,,,,,,,,
Vanuatu,4,,1,,3,,0,,13,3,23000,73239,314039,Australia/Oceania,78510,314039,14,,,
Marshall Islands,4,,,,4,,0,,67,,,,59575,Australia/Oceania,14894,,,,,
Samoa,3,,,,3,,0,,15,,,,199686,Australia/Oceania,66562,,,,,
Saint Helena,2,,,,2,,0,,328,,,,6094,Africa,3047,,,,,
Micronesia,1,,,,1,,0,,9,,,,116185,Australia/Oceania,116185,,,,,

#Asia,54350101,129029,764638,2416,51672597,163282,1912866,26891,,,,,,Asia,,,,,,
#North America,40325564,19994,911411,511,33649845,26972,5764308,11293,,,,,,North America,,,,,,
#South America,31545494,144335,968572,4043,28542245,116181,2034677,31668,,,,,,South America,,,,,,
#Europe,47426785,39281,1091899,740,44905642,41591,1429244,8886,,,,,,Europe,,,,,,
#Africa,5226362,25150,137476,442,4631865,16692,457021,4021,,,,,,Africa,,,,,,
#Oceania,71335,231,1265,,68033,101,2037,10,,,,,,Australia/Oceania,,,,,,
#,721,,15,,706,,0,0,,,,,,,,,,,,
#World,178946362,358020,3875276,8152,163470933,364819,11600153,82769,22957,497.2,,,,All,,,,,,
