code3,name,stringency_index,top_new_deaths,population,tndpm,area,density
ABW,Aruba,41.76,8.5,106459,79.84,180,592
AFG,Afghanistan,30.35,93.93,41128772,2.28,652864,61
AGO,Angola,56.66,17.36,35588996,0.49,1246700,28
AIA,Anguilla,0,0.93,15877,58.49,91,173
ALB,Albania,46.55,20.07,2842318,7.06,28748,99
AND,Andorra,36.52,3.07,79843,38.47,468,169
ARE,United Arab Emirates,47.5,17.07,9441138,1.81,83600,112
ARG,Argentina,53.34,883.14,45510324,19.41,2780400,16
ARM,Armenia,0,54.21,2780472,19.5,29743,94
ATG,Antigua and Barbuda,0,5.21,93772,55.61,442,211
AUS,Australia,49.85,133.86,26177410,5.11,7692024,3
AUT,Austria,52.35,133.29,8939617,14.91,83871,106
AZE,Azerbaijan,63.76,58.5,10358078,5.65,86600,119
BDI,Burundi,17.97,2.71,12889583,0.21,27834,451
BEL,Belgium,42.27,325.86,11655923,27.96,30528,380
BEN,Benin,34.9,5.57,13352864,0.42,114763,113
BES,Bonaire,0,1.86,27052,68.65,294,77
BFA,Burkina Faso,23.91,11.64,22673764,0.51,272967,81
BGD,Bangladesh,56.68,247.36,171186368,1.44,148460,1141
BGR,Bulgaria,39.55,242.71,6781955,35.79,110912,62
BHR,Bahrain,41.64,22.29,1472237,15.14,785,1864
BHS,Bahamas,58.99,21.57,409989,52.61,13943,29
BIH,Bosnia and Herzegovina,41.65,151.14,3233530,46.74,51209,64
BLR,Belarus,25.6,27.5,9534956,2.88,207600,46
BLZ,Belize,53.09,11.71,405285,28.9,22966,17
BMU,Bermuda,41.75,4.93,64207,76.76,53,1211
BOL,Bolivia,45.87,259.14,12224114,21.2,1098581,11
BRA,Brazil,52.18,3655,215313504,16.98,8514877,25
BRB,Barbados,53.21,10.64,281646,37.79,430,654
BRN,Brunei,42.4,6.36,449002,14.16,5765,77
BTN,Bhutan,56.42,1.14,782457,1.46,38394,20
BWA,Botswana,39.83,83.93,2630300,31.91,582000,4
CAF,Central African,26.84,4.71,5579148,0.84,622984,9
CAN,Canada,53.58,217.64,38454328,5.66,9093507,4
CHE,Switzerland,38.17,108.14,8740471,12.37,41285,211
CHL,Chile,55.86,272.57,19603736,13.9,756102,26
CHN,China,71.57,134.57,1425887360,0.09,9596961,149
CIV,Ivory Coast,26.88,9.71,28160548,0.34,322463,85
CMR,Cameroon,34.44,72.93,27914542,2.61,475650,57
COD,DR Congo,41.07,39.86,99010216,0.4,2344858,41
COG,Congo,46.68,13.29,5970430,2.23,342000,17
COK,Cook Islands,0,0.07,17032,4.19,236,72
COL,Colombia,54.52,653.36,51874028,12.6,1141748,45
COM,Comoros,0,5.43,836783,6.49,2235,368
CRI,Costa Rica,47.33,84.71,5180836,16.35,51100,101
CUB,Cuba,53.18,92.14,11212198,8.22,109884,102
CUW,Curaçao,0,4.43,191173,23.17,444,429
CYM,Cayman Islands,0,1.71,68722,24.95,264,258
CYP,Cyprus,50.33,15.5,896007,17.3,9251,134
CZE,Czechia,42.26,261.5,10493990,24.92,78866,133
DEU,Germany,48.62,1070.93,83369840,12.85,357137,234
DJI,Djibouti,44.85,4.64,1120851,4.14,23200,48
DMA,Dominica,44.26,2.79,72758,38.29,751,96
DNK,Denmark,37.01,54.36,5882259,9.24,43094,136
DOM,Dominican,49.28,30.86,11228821,2.75,48192,231
DZA,Algeria,56.99,39,44903228,0.87,2381741,19
ECU,Ecuador,53.89,271.43,18001002,15.08,256369,69
EGY,Egypt,46.79,95.14,110990096,0.86,1002000,109
ERI,Eritrea,0,2.14,3684041,0.58,117600,31
ESH,Western Sahara,0,0,576005,0,266000,2
ESP,Spain,48.31,893.64,47558632,18.79,505992,94
EST,Estonia,33.71,16.21,1326064,12.23,45227,29
ETH,Ethiopia,48.98,45.43,123379928,0.37,1104300,109
FIN,Finland,36.91,167.07,5540745,30.15,336852,16
FJI,Fiji,54.39,18.86,929769,20.28,18272,51
FLK,Falkland Islands,0,0,3801,0,12173,0.3
FRA,France,44.47,1175.71,67813000,17.34,551500,117
FRO,Faroe Islands,30.01,1.36,53117,25.55,1393,38
FSM,Micronesia,0,3.57,114178,31.28,702,762
GAB,Gabon,51.81,5,2388997,2.09,267668,9
GBR,United Kingdom,45.9,1378.64,67508936,20.42,242495,277
GEO,Georgia,48.23,80.21,3744385,21.42,69700,53
GGY,Guernsey,0,0,63329,0,63,1001
GHA,Ghana,45.35,17.71,33475870,0.53,238533,138
GIB,Gibraltar,0,4.29,32677,131.15,6,5445
GIN,Guinea,53.72,7.14,13859349,0.52,245857,55
GMB,Gambia,36.94,11.07,2705995,4.09,11295,234
GNB,Guinea-Bissau,0,4.14,2105580,1.97,36125,57
GNQ,Equatorial Guinea,0,8.14,1674916,4.86,28051,58
GRC,Greece,57.77,224.57,10384972,21.62,131957,79
GRD,Grenada,2.65,9.93,125459,79.14,344,362
GRL,Greenland,33.95,1.43,56494,25.29,2166086,0.03
GTM,Guatemala,56.35,79.5,17843914,4.46,108889,162
GUM,Guam,0,0,171783,0,549,311
GUY,Guyana,56.98,11.07,808727,13.69,214969,4
HKG,Hong Kong,59.6,277.79,7488863,37.09,1104,6789
HND,Honduras,64.86,95.21,10432858,9.13,112492,91
HRV,Croatia,36.44,78.36,4030361,19.44,56594,72
HTI,Haiti,47.92,9.07,11585003,0.78,27750,413
HUN,Hungary,39.01,351.79,9967304,35.29,93026,104
IDN,Indonesia,58.06,1747.07,275501344,6.34,1910931,143
IMN,Isle of Man,0,4.36,84534,51.54,572,147
IND,India,60.87,4196.14,1417173120,2.96,3287263,428
IRL,Ireland,46.41,95.29,5023108,18.97,69825,71
IRN,Iran,62.31,645.14,88550568,7.29,1628750,54
IRQ,Iraq,64.31,105.5,44496124,2.37,435244,100
ISL,Iceland,32.67,7.71,372903,20.69,103000,4
