縣市,選舉人數,有效票比例,合一行動聯盟,中華統一促進黨,親民黨,安定力量,台灣基進,時代力量,新黨,喜樂島聯盟,中國國民黨,一邊一國行動黨,勞動黨,綠黨,宗教聯盟,民主進步黨,台灣民眾黨,台灣維新,台澎黨,國會政黨聯盟,台灣團結聯盟
#city,total,effective,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
# 舊版需要以英文或數字命名欄位； 現在沒有這個限制了
南投縣,413518,71.02,0.18,0.26,2.86,0.53,1.94,4.38,0.49,0.17,28.35,0.49,0.12,1.14,0.27,21.98,7.07,0.07,0.09,0.31,0.33
嘉義市,215057,74.65,0.05,0.17,2.42,0.44,2.69,6.28,0.52,0.14,22.57,1.64,0.07,1.71,0.14,26.66,8.64,0.08,0.03,0.14,0.28
嘉義縣,428675,70.07,0.1,0.29,2.07,0.4,2.32,5.08,0.33,0.18,20.26,2.08,0.11,1.06,0.16,28.18,6.57,0.08,0.11,0.13,0.54
基隆市,311830,71.81,0.1,0.22,3.51,0.62,1.55,5.82,0.93,0.13,26.83,0.24,0.11,1.72,0.24,20.88,8.29,0.06,0.06,0.25,0.26
宜蘭縣,375648,71.89,0.08,0.16,2.31,0.42,1.64,6.03,0.46,0.13,20.77,0.58,0.13,1.51,0.16,29.03,7.87,0.05,0.08,0.14,0.34
屏東縣,688855,72.89,0.13,0.25,1.73,0.44,2.57,5.04,0.41,0.17,23.07,1.09,0.09,1.12,0.24,30.64,5.28,0.06,0.1,0.12,0.33
彰化縣,1035597,72.35,0.15,0.2,2.62,0.41,2.17,5.55,0.38,0.16,24.63,0.83,0.13,1.21,0.16,24.32,8.78,0.06,0.09,0.17,0.35
新北市,3321772,73.76,0.09,0.14,3.11,0.5,1.64,5.96,1.03,0.13,24.46,0.35,0.08,1.94,0.13,24.9,8.81,0.05,0.05,0.18,0.21
新竹市,345396,75.31,0.08,0.15,2.96,0.48,1.7,8.67,0.71,0.13,24.15,0.15,0.11,2.2,0.13,21.34,11.53,0.05,0.05,0.55,0.19
新竹縣,438101,73.49,0.09,0.19,3.03,0.46,1.38,6.68,0.6,0.15,29.32,0.12,0.63,1.92,0.13,17.17,9.98,0.05,0.06,1.29,0.24
桃園市,1781183,73.02,0.1,0.18,2.91,0.48,1.58,5.73,0.77,0.13,25.52,0.33,0.11,2.38,0.16,23.21,8.9,0.05,0.04,0.25,0.21
澎湖縣,88441,55.99,0.08,0.2,2.22,0.23,1.62,3.53,0.43,0.13,20.82,0.47,0.06,0.97,0.19,19.21,5.08,0.05,0.25,0.08,0.37
臺中市,2251316,74.7,0.09,0.15,3.03,0.42,2.66,5.9,0.57,0.18,24.74,0.61,0.09,1.77,0.19,24.02,9.75,0.05,0.05,0.15,0.28
臺北市,2166479,75.25,0.05,0.11,3.02,0.6,1.72,6.09,1.66,0.14,25.87,0.35,0.05,2.48,0.1,22.84,9.74,0.04,0.03,0.2,0.15
臺南市,1556930,74.21,0.07,0.16,2.2,0.76,3.35,5.6,0.4,0.16,19.09,1.79,0.08,1.7,0.18,31.23,6.79,0.14,0.08,0.14,0.28
臺東縣,179566,62.61,0.2,0.22,1.92,0.49,1.39,3.1,0.47,0.18,33.53,0.27,0.1,0.99,0.28,14.58,4.36,0.06,0.06,0.16,0.26
花蓮縣,269562,67.31,0.13,0.29,2.22,0.54,1.18,3.75,0.75,0.14,36.8,0.19,0.1,1.17,0.13,14.22,5.18,0.07,0.04,0.14,0.27
苗栗縣,447473,71.94,0.09,0.31,2.78,0.33,1.22,6.22,0.55,0.15,31.86,0.18,0.16,1.13,0.19,18.1,7.88,0.06,0.07,0.39,0.28
連江縣,10941,55.68,0.1,0.25,1.79,0.2,0.67,2.84,1.84,0.09,37.78,0.12,0.05,0.95,0.03,3.88,4.79,0.02,0.04,0.15,0.1
金門縣,120743,38.94,0.04,0.25,1.12,0.16,0.67,2.18,1.14,0.06,25.58,0.06,0.05,0.63,0.12,3.19,3.47,0.03,0.02,0.09,0.07
雲林縣,565311,69.1,0.13,0.23,2.25,0.37,1.93,4.79,0.32,0.19,21.07,1.63,0.12,1.05,0.16,26.29,7.76,0.07,0.11,0.19,0.44
高雄市,2299711,76.13,0.07,0.14,2.16,0.42,4.53,5.38,0.61,0.16,22.92,1.34,0.09,1.61,0.18,29.51,6.48,0.06,0.07,0.13,0.27
