iso3,continent,country,medianIncome,meanIncome,gdpPerCapitaPPP,DataYear,CostOfElectricityMarch2023,CostOfElectricitySeptember2022
ABW,North America,Aruba,0.1851,0.183,,,,
AFG,Asia,Afghanistan,0.0421,0.043,,,,
AGO,Africa,Angola,665,1066,6965,2006-2012,0.0231,0.016
ALB,Europe,Albania,3358,3979,5288,2018,0.1051,0.116
ARE,Asia,United Arab Emirates,26324,28755,46722,2018,0.0811,0.079
ARG,South America,Argentina,6731,9041,10636,2021,0.0331,0.032
ARM,Asia,Armenia,2216,2810,14257,2006-2012,0.1031,0.104
AUS,Oceania,Australia,19363,23583,57207,2018,0.2151,0.238
AUT,Europe,Austria,21572,24214,48809,2020,0.4621,0.502
AZE,Asia,Azerbaijan,3193,3851,15041,2006-2012,0.0471,0.047
BDI,Africa,Burundi,475,640,784,2006-2012,,
BEL,Europe,Belgium,19360,21444,45518,2020,0.4441,0.524
BEN,Africa,Benin,699,989,3432,2006-2012,,
BFA,Africa,Burkina Faso,748,1002,2274,2006-2012,0.2001,0.206
BGD,Asia,Bangladesh,1131,1414,4964,2006-2012,0.0541,0.052
BGR,Europe,Bulgaria,8329,11271,10154,2020,0.1301,0.14
BHR,Asia,Bahrain,0.0481,0.048,,,,
BHS,North America,Bahamas,0.2621,0.26,,,,
BIH,Europe,Bosnia and Herzegovina,5925,7131,16288,2006-2012,0.0961,0.101
BLR,Europe,Belarus,6507,7359,19997,2006-2012,0.0921,0.091
BLZ,North America,Belize,1927,3246,7314,2006-2012,0.2171,0.218
BMU,North America,Bermuda,0.3951,0.46,,,,
BOL,South America,Bolivia,5442,7136,3345,2021,,
BRA,South America,Brazil,4230,7001,7697,2021,0.1971,0.175
BRB,North America,Barbados,0.3301,0.273,,,,
BTN,Asia,Bhutan,2446,3189,12355,2006-2012,0.0151,0.016
BWA,Africa,Botswana,1596,2907,18552,2006-2012,0.0951,0.096
CAF,Africa,Central African Republic,491,891,986,2006-2012,,
CAN,North America,Canada,20550,23991,46374,2019,0.1121,0.121
CHE,Europe,Switzerland,23488,28142,85217,2018,0.2291,0.234
CHL,South America,Chile,6209,9304,13165,2020,0.1731,0.194
CHN,Asia,China,,4246,16829,2006-2012,0.0791,0.078
CIV,Africa,Ivory Coast,987,1358,5443,2006-2012,0.1171,0.121
CMR,Africa,Cameroon,1245,1841,3803,2006-2012,0.0811,0.083
COG,Africa,DR Congo,395,548,1146,2006-2012,0.0811,0.07
COG,Africa,Republic of the Congo,892,1375,3835,2006-2012,0.0811,0.07
COL,South America,Colombia,3146,5168,6183,2021,0.1371,0.167
COM,Africa,Comoros,1401,2050,3194,2006-2012,,
CPV,Africa,Cape Verde,0.3041,0.313,,,,
CRI,North America,Costa Rica,5789,8928,13199,2022,0.1551,0.161
CUB,North America,Cuba,0.0301,0.03,,,,
CYM,North America,Cayman Islands,0.3661,0.444,,,,
CYP,Asia,Cyprus,15896,19319,28036,2020,0.2701,0.382
CZE,Europe,Czech Republic,12852,14615,22993,2020,0.3651,0.453
DEU,Europe,Germany,20323,24046,46794,2019,0.5201,0.557
DJI,Africa,Djibouti,1403,1869,5779,2006-2012,,
DNK,Europe,Denmark,20593,23550,60915,2020,0.5291,0.579
DOM,North America,Dominican Republic,3858,5125,8477,2021,0.1231,0.124
DZA,Africa,Algeria,2612,2996,12019,2006-2012,0.0391,0.039
ECU,South America,Ecuador,3891,5548,6391,2022,0.0961,0.096
EGY,Africa,Egypt,1485,1847,,2006-2012,0.0271,0.027
ESP,Europe,Spain,14695,17155,26960,2020,0.3661,0.371
EST,Europe,Estonia,13140,15637,23595,2020,0.3191,0.393
ETH,Africa,Ethiopia,907,1107,2319,2006-2012,0.0061,0.006
FIN,Europe,Finland,18692,21469,49170,2020,0.2351,0.456
FJI,Oceania,Fiji,2460,3261,14289,2006-2012,,
FRA,Europe,France,18301,20951,39055,2020,0.2141,0.218
GAB,Africa,Gabon,2779,3544,15611,2006-2012,0.1991,0.205
GBR,Europe,United Kingdom,16907,20035,40318,2020,0.4711,0.421
GEO,Asia,Georgia,2273,2814,15655,2006-2012,0.0761,0.077
GHA,Africa,Ghana,1779,2422,5652,2006-2012,0.0291,0.033
GIN,Africa,Guinea,843,1036,2675,2006-2012,,
GMB,Africa,Gambia,1383,1784,2321,2006-2012,,
GRC,Europe,Greece,9056,10516,17659,2020,0.1981,0.273
GTM,North America,Guatemala,2252,3431,3780,2014,0.2711,0.281
GUY,South America,Guyana,2003,2729,13661,2006-2012,,
HKG,Asia,Hong Kong,0.1631,0.173,,,,
HND,North America,Honduras,2529,3694,2519,2019,0.2311,0.231
HRV,Europe,Croatia,9855,11056,14237,2020,,
HTI,North America,Haiti,1162,1540,3034,2006-2012,,
HUN,Europe,Hungary,9683,10921,16126,2020,0.1051,0.115
IDN,Asia,Indonesia,0.0951,0.096,,,,
IND,Asia,India,,1314,6996,2006-2012,0.0731,0.074
IRL,Europe,Ireland,17962,21177,85420,2020,0.3301,0.426
IRN,Asia,Iran,4360,5924,12937,2006-2012,0.0051,0.002
IRQ,Asia,Iraq,1951,2293,11362,2006-2012,0.0131,0.015
ISL,Europe,Iceland,20630,22988,72010,2017,0.1371,0.15
ISR,Asia,Israel,12282,14950,42407,2018,0.1591,0.16
ITA,Europe,Italy,15268,18162,31919,2020,0.4611,0.579
JAM,North America,Jamaica,2899,4429,10193,2006-2012,0.3301,0.325
JOR,Asia,Jordan,3185,4025,10517,2006-2012,0.1001,0.09
JPN,Asia,Japan,15144,18162,38475,2013,0.2461,0.247
KAZ,Asia,Kazakhstan,3661,4313,27517,2006-2012,0.0451,0.045
KEN,Africa,Kenya,874,1197,4521,2006-2012,0.1721,0.156
KGZ,Asia,Kyrgyzstan,1892,2235,5485,2006-2012,0.0101,0.01
KHM,Asia,Cambodia,0.1501,0.148,,,,
KIR,Oceania,Kiribati,1489,1858,2372,2006-2012,,
KOR,Asia,South Korea,13731,15772,29289,2016,0.0931,0.101
KWT,Asia,Kuwait,0.0291,0.029,,,,
LAO,Asia,Laos,1065,1389,8172,2006-2012,0.0351,0.032
LBN,Asia,Lebanon,7712,9091,15195,2006-2012,0.0021,0.001
LBR,Africa,Liberia,753,945,1491,2006-2012,,
LBY,Africa,Libya,0.0041,0.01,,,,
LCA,North America,Saint Lucia,4763,7318,10574,2016,,
LIE,Europe,Liechtenstein,0.2731,0.29,,,,
LKA,Asia,Sri Lanka,2277,3162,13656,2006-2012,0.0411,0.05
LSO,Africa,Lesotho,1157,1659,2824,2006-2012,0.0921,0.092
LTU,Europe,Lithuania,12425,15940,20364,2020,0.3601,0.502
LUX,Europe,Luxembourg,28382,34065,117371,2020,0.2391,0.24
LVA,Europe,Latvia,10428,12958,18207,2020,0.2951,0.317
# Macau: MAC|PLW|MLT,Asia,Macau,0.1511,0.158,,,,
MAR,Africa,Morocco,2716,3721,7826,2006-2012,0.1131,0.117
MDA,Europe,Moldova,3133,3590,13626,2006-2012,0.1151,0.147
MDG,Africa,Madagascar,398,567,1719,2006-2012,0.1361,0.13
MDV,Asia,Maldives,5409,6435,20395,2006-2012,0.1431,0.15
MEX,North America,Mexico,3486,5099,8655,2020,0.0971,0.104
# Micronesia: OWID_PYA|OWID_MNS|IDN,Oceania,Micronesia,1413,1858,3547,2006-2012,,
MKD,Europe,North Macedonia,4920,5457,6070,2019,0.1011,0.117
MLI,Africa,Mali,689,861,2424,2006-2012,0.2121,0.218
MLT,Europe,Malta,17560,20801,29197,2020,0.1421,0.146
MMR,Asia,Myanmar,1909,2296,5369,2006-2012,0.0291,0.029
MNE,Europe,Montenegro,5336,6194,8850,2018,,
MNG,Asia,Mongolia,2800,3409,12861,2006-2012,,
MOZ,Africa,Mozambique,529,947,1338,2006-2012,0.1271,0.127
MRT,Africa,Mauritania,1760,2094,5427,2006-2012,,
MUS,Africa,Mauritius,3832,4969,23882,2006-2012,0.1311,0.132
MWI,Africa,Malawi,484,733,1106,2006-2012,0.1091,0.109
MYS,Asia,Malaysia,8840,11976,11074,2018,0.0491,0.048
NAM,Africa,Namibia,1962,4023,10063,2006-2012,0.1351,0.109
NER,Africa,Niger,738,937,1278,2006-2012,,
NGA,Africa,Nigeria,825,1021,5362,2006-2012,0.0491,0.03
NIC,North America,Nicaragua,2946,4278,1914,2014,0.1731,0.174
NLD,Europe,Netherlands,21480,23422,52163,2020,0.3411,0.491
NOR,Europe,Norway,23835,27032,76431,2019,0.1331,0.129
NPL,Asia,Nepal,1155,1428,3567,2006-2012,0.0441,0.044
NZL,Oceania,New Zealand,0.1881,0.191,,,,
OMN,Asia,Oman,0.0261,0.026,,,,
PAK,Asia,Pakistan,1399,1797,4898,2006-2012,0.0371,0.046
PAN,North America,Panama,7008,11268,15491,2021,0.1761,0.18
PER,South America,Peru,3332,4413,6636,2021,0.2251,0.242
PHL,Asia,Philippines,2292,3219,3461,2021,0.1841,0.176
PNG,Oceania,Papua New Guinea,876,1162,4547,2006-2012,,
POL,Europe,Poland,11308,12932,15700,2019,0.1781,0.194
PRT,Europe,Portugal,10855,13352,22242,2020,0.2661,0.295
PRY,South America,Paraguay,4614,6738,6153,2022,0.0551,0.056
QAT,Asia,Qatar,0.0321,0.033,,,,
ROU,Europe,Romania,7731,8786,13048,2020,0.1721,0.176
RUS,Europe,Russia,9563,11709,11287,2018,0.0641,0.059
RWA,Africa,Rwanda,621,925,2325,2006-2012,0.2361,0.223
SAU,Asia,Saudi Arabia,0.0481,0.048,,,,
SDN,Africa,Sudan,1277,1592,4122,2006-2012,0.0091,0.008
SEN,Africa,Senegal,844,1137,3545,2006-2012,0.1671,0.172
SGP,Asia,Singapore,0.2221,0.238,,,,
SLB,Oceania,Solomon Islands,1028,1333,2780,2006-2012,,
SLE,Africa,Sierra Leone,765,1004,1794,2006-2012,0.0821,0.081
SLV,North America,El Salvador,3781,4782,5127,2022,0.2441,0.24
SRB,Europe,Serbia,5935,7019,7734,2020,0.0921,0.105
SSD,Africa,South Sudan,793,1121,1234,2006-2012,,
STP,Africa,Sao Tome and Principe,901,1620,4145,2006-2012,,
SUR,South America,Suriname,1659,2593,17256,2006-2012,0.0101,0.016
SVK,Europe,Slovakia,9037,9505,19382,2019,0.1991,0.207
SVN,Europe,Slovenia,15078,16644,25545,2020,0.2681,0.295
SWE,Europe,Sweden,18911,21466,52838,2020,0.2871,0.348
SWZ,Africa,Eswatini,1097,2091,9003,2006-2012,0.0951,0.098
SYC,Africa,Seychelles,7118,8121,16410,2018,,
SYR,Asia,Syria,1996,2606,,2006-2012,0.0141,0.005
TCD,Africa,Chad,880,1182,1649,2006-2012,,
TGO,Africa,Togo,683,964,1667,2006-2012,0.1871,0.193
THA,Asia,Thailand,4356,5670,19276,2006-2012,0.1121,0.121
TJK,Asia,Tajikistan,1994,2437,3529,2006-2012,,
TKM,Asia,Turkmenistan,706,963,15206,2006-2012,,
TLS,Asia,Timor-Leste,970,1147,3709,2006-2012,,
TON,Oceania,Tonga,2782,3677,6665,2006-2012,,
TTO,North America,Trinidad and Tobago,2868,3711,27334,2006-2012,0.0521,0.052
TUN,Africa,Tunisia,3366,4076,11231,2006-2012,0.0671,0.068
TUR,Asia,Turkey,5251,7267,28133,2006-2012,0.0771,0.073
TUV,Oceania,Tuvalu,2099,2802,4470,2006-2012,,
TWN,Asia,Taiwan,13903,16713,,2016,0.0921,0.095
TZA,Africa,Tanzania,702,992,2770,2006-2012,0.0981,0.096
UGA,Africa,Uganda,804,1166,2284,2006-2012,0.1631,0.164
UKR,Europe,Ukraine,4434,5010,13341,2006-2012,0.0391,0.039
URY,South America,Uruguay,7377,9862,17924,2021,0.2431,0.25
USA,North America,United States,24327,31974,70220,2021,0.1751,0.18
UZB,Asia,Uzbekistan,591,752,7308,2006-2012,0.0261,0.026
VEN,South America,Venezuela,2710,3741,17527,2006-2012,0.1731,0.045
VNM,Asia,Vietnam,3149,3881,8397,2006-2012,0.0791,0.08
VUT,Oceania,Vanuatu,1379,1781,3292,2006-2012,,
WSM,Oceania,Samoa,2537,3418,6795,2006-2012,,
YEM,Asia,Yemen,1150,1503,3688,2006-2012,,
ZAF,Africa,South Africa,1624,4081,13034,2006-2012,0.1511,0.151
ZMB,Africa,Zambia,545,1045,3624,2006-2012,0.0281,0.029
ZWE,Africa,Zimbabwe,932,1429,2961,2006-2012,0.0051,0.015
