name, radius, orbit_major, rev_cycle, planet
月球, 1737.10, 384399, 27.321582, 地球
Phobos, 11.1, 9380, 0.319, Mars
Deimos, 6.2, 23460, 1.262, Mars
Io, 1818.1, 421800, 1.769, Jupiter
Europa, 1560.7, 671100, 3.551, Jupiter
Ganymede, 2634.1, 1070400, 7.155, Jupiter
Callisto, 2408.4, 1882700, 16.69, Jupiter
Amalthea, 83.45, 181400, 0.498, Jupiter
Himalia, 67, 11461000, 250.56, Jupiter
Elara, 43, 11741000, 259.64, Jupiter
Pasiphae, 30, 23624000, 743.63, Jupiter
Sinope, 19, 23939000, 758.90, Jupiter
Lysithea, 18, 11717000, 259.20, Jupiter
Carme, 23, 23404000, 734.17, Jupiter
Ananke, 14, 21276000, 629.77, Jupiter
Leda, 10, 11165000, 240.92, Jupiter
Thebe, 49.3, 221900, 0.675, Jupiter
Adrastea, 8.2, 129000, 0.298, Jupiter
Metis, 21.5, 128000, 0.295, Jupiter
Callirrhoe, 4.3, 24103000, 758.77, Jupiter
Themisto, 4.0, 7284000, 130.02, Jupiter
Megaclite, 2.7, 23493000, 752.86, Jupiter
Taygete, 2.5, 23280000, 732.41, Jupiter
Chaldene, 1.9, 23100000, 723.72, Jupiter
Harpalyke, 2.2, 20858000, 623.32, Jupiter
Kalyke, 2.6, 23483000, 742.06, Jupiter
Iocaste, 2.6, 21060000, 631.60, Jupiter
Erinome, 1.6, 23196000, 728.46, Jupiter
Isonoe, 1.9, 23155000, 726.23, Jupiter
Praxidike, 3.4, 20908000, 625.39, Jupiter
Autonoe, 2.0, 24046000, 760.95, Jupiter
Thyone, 2.0, 20939000, 627.21, Jupiter
Hermippe, 2.0, 21131000, 633.9, Jupiter
Aitne, 1.5, 23229000, 730.18, Jupiter
Eurydome, 1.5, 22865000, 717.33, Jupiter
Euanthe, 1.5, 20797000, 620.49, Jupiter
Euporie, 1.0, 19304000, 550.74, Jupiter
Orthosie, 1.0, 20720000, 622.56, Jupiter
Sponde, 1.0, 23487000, 748.34, Jupiter
Kale, 1.0, 23217000, 729.47, Jupiter
Pasithee, 1.0, 23004000, 719.44, Jupiter
Hegemone, 1.5, 23577000, 739.88, Jupiter
Mneme, 1.0, 21035000, 620.04, Jupiter
Aoede, 2.0, 23980000, 761.50, Jupiter
Thelxinoe, 1.0, 21164000, 628.09, Jupiter
Arche, 1.5, 23355000, 731.95, Jupiter
Kallichore, 1.0, 23288000, 728.73, Jupiter
Helike, 2.0, 21069000, 626.32, Jupiter
Carpo, 1.5, 17058000, 456.30, Jupiter
Eukelade, 2.0, 23328000, 730.47, Jupiter
Cyllene, 1.0, 23809000, 752, Jupiter
Kore, 1.0, 24543000, 779.17, Jupiter
Herse, 1.0, 22983000, 714.51, Jupiter
S/2010_J_1, 1.0, 23314335, 723.2, Jupiter
S/2010_J_2, 0.5, 20307150, 588.1, Jupiter
Dia, 2.0, 12570000, 287.93, Jupiter
S/2016_J_1, 3.0, 20595480, 602.7, Jupiter
S/2003_J_18, 1.0, 20426000, 596.58, Jupiter
S/2011_J_2, 0.5, 23329710, 726.8, Jupiter
S/2003_J_5, 2.0, 23498000, 738.74, Jupiter
S/2003_J_15, 1.0, 22630000, 689.77, Jupiter
S/2017_J_1, 2.0, 23483978, 734.2, Jupiter
S/2003_J_3, 1.0, 20224000, 583.88, Jupiter
S/2003_J_2, 1.0, 28455000, 981.55, Jupiter
S/2003_J_4, 1.0, 23933000, 755.26, Jupiter
S/2003_J_9, 0.5, 23388000, 733.30, Jupiter
S/2003_J_10, 1.0, 23044000, 716.25, Jupiter
S/2003_J_12, 0.5, 17833000, 489.72, Jupiter
S/2003_J_16, 1.0, 20956000, 616.33, Jupiter
S/2003_J_19, 1.0, 23535000, 740.43, Jupiter
S/2003_J_23, 1.0, 23566000, 732.45, Jupiter
S/2011_J_1, 0.5, 20155290, 580.7, Jupiter
