代號, 名稱,divavg, y18, y17, y16, y15, y14
50, 元大台灣50,1.49,0.7,2.2,1.7,0.85,2
51, 元大中型100,0.68,0,1,0.85,0.7,0.85
52, 富邦科技,1.244,0.65,1.72,1.41,2.44, nan
53, 元大電子,0.83,0,1.1,1.15,1,0.9
54, 元大台商50,0.58,0,0.75,0.75,0.7,0.7
55, 元大MSCI金融,0.41,0,0.65,0.5,0.45,0.45
56, 元大高股息,0.93,0,1.45,0.95,1.3,0.95
57, 富邦摩台,0.336,0, nan, nan,1.68, nan
61, 元大寶滬深,0,0, nan, nan, nan, nan
1101, 台泥,2.016,3.31,1.5,1.45,1.33,2.49
1102, 亞泥,1.64,2.8,1.2,0.9,1.1,2.2
1103, 嘉泥,0.42,1,0.5,0.2,0.1,0.3
1104, 環泥,1.06,1,1.1,1.2,1,1
1108, 幸福,0.41,0,0,0.6,0.85,0.6
1109, 信大,0.28,0.8,0.1,0.1,0.2,0.2
1110, 東泥,0.14,0.1,0.1,0.1,0.2,0.2
1201, 味全,0.16,0.8,0, nan, nan, nan
1203, 味王,1.06,1,1.3,1,1,1
1210, 大成,1.34,1.5,2,1.5,0.7,1
1213, 大飲,0,0,0, nan,0, nan
1215, 卜蜂,2.4,3,3,3,2,1
1216, 統一,2.7,2.5,5.5,2.1,2,1.4
1217, 愛之味,0,0,0, nan,0, nan
1218, 泰山,0.24,0.8,0.4,0, nan, nan
1219, 福壽,0.226,0.1,0.3,0.3,0.25,0.18
1220, 台榮,0.462,0.46,0.4,0.65,0.5,0.3
1225, 福懋油,0.98,1.15,1.25,1.25,1,0.25
1227, 佳格,1.86,2.5,2,1.6,1.6,1.6
1229, 聯華,1.52,1.6,1.8,1.6,1.2,1.4
1231, 聯華食,1.434,1.8,1.4,1.75,1.32,0.9
1232, 大統益,5,5,5,5,5,5
1233, 天仁,1.97,1.9,2.25,1.6,2,2.1
1234, 黑松,1.56,1.6,1.5,2,1.5,1.2
1235, 興泰,0,0,0, nan, nan,0
1236, 宏亞,0.56,0.4,0.1,0.3,0.7,1.3
1240, 茂生農經,1.3,1.5,2.5,2.5, nan, nan
1256, 鮮活果汁-KY,4.98,6.2,5,4.2,4,5.5
1258, 其祥-KY,0.926,0,0.5,1.31,1.52,1.3
1259, 安心,2.92,3,3.5,3,2.8,2.3
1264, 德麥,10.3,11,10.5,10,10,10
1268, 漢來美食,3.906,6.97,6.58,5.98, nan, nan
1301, 台塑,4.28,5.8,5.7,4.6,3.6,1.7
1303, 南亞,4.04,5,5.1,4.5,3.3,2.3
1304, 台聚,0.4,0.3,0.3,0.5,0.5,0.4
1305, 華夏,1.18,1.5,1.5,1.7,1,0.2
1307, 三芳,1.54,0.5,1.7,2.2,1.7,1.6
1308, 亞聚,0.4,0.3,0.2,0.6,0.6,0.3
1309, 台達化,0.04,0.2,0, nan, nan, nan
1310, 台苯,1.36,2,1.6,2.2,1, nan
1312, 國喬,0.62,0,1,1,0.8,0.3
1313, 聯成,0.44,0.2,1,0.6,0.2,0.2
1314, 中石化,0.1,0.5,0, nan, nan, nan
1315, 達新,1.12,1.2,1.1,1.1,1.1,1.1
1316, 上曜,0.83,1.89,2.26, nan, nan,0
1319, 東陽,1.602,1.7,2.05,2.12,1.4,0.74
1321, 大洋,0,0,0, nan, nan, nan
1323, 永裕,1.65,1.8,1.3,1.8,1.55,1.8
1324, 地球,0.34,0.3,0.3,0.4,0.4,0.3
1325, 恆大,0.56,0.5,0.35,0.8,0.7,0.45
1326, 台化,4.7,6.2,7,5.6,3.5,1.2
1333, 恩得利,0,0,0, nan, nan, nan
1336, 台翰,0.278,0.79,0.6, nan, nan, nan
1337, 再生-KY,0.07,0,0,0.01,0.3,0.04
1338, 廣華-KY,4.14,3.5,5,4,4.5,3.7
1339, 昭輝,2,2,2,2,2,2
1340, 勝悅-KY,0.94,0.2,0.3,1.2,1,2
1341, 富林-KY,0.6,3, nan, nan, nan, nan
1402, 遠東新,1.2,1.8,1.2,0.8,1,1.2
1409, 新纖,0.456,0.85,0.5,0.25,0.25,0.43
1410, 南染,1.33,1.3,1.4,1.45,1.3,1.2
1413, 宏洲,0,0,0, nan, nan, nan
1414, 東和,0.244,0.2,0.32,0.2,0.2,0.3
1416, 廣豐,1.34,1.2,1.2,3,1,0.3
1417, 嘉裕,0,0,0, nan, nan, nan
1418, 東華,0,0,0, nan, nan, nan
1419, 新紡,1.14,0.85,3.73,0.46,0.35,0.31
1423, 利華,0,0,0, nan, nan, nan
1432, 大魯閣,0,0,0, nan, nan, nan
1434, 福懋,1.62,2.1,1.9,1.5,1.2,1.4
1435, 中福,0,0,0, nan, nan, nan
1436, 華友聯,1.4,2,2.5,1,0,1.5
