ID,日期,縣市別,總人口數,前次累計接種人數更新,新增接種人數,累計接種人數,累計接種率,累計配送劑數,剩餘庫存量
793,210609,臺北市,2581006,144190,1650,145840,5.65,157700,7.52
794,210609,新北市,4027730,116615,633,117248,2.91,112000,0.00
796,210609,臺中市,2820979,94726,1158,95884,3.40,96700,0.84
798,210609,高雄市,2760028,86980,152,87132,3.16,90200,3.40
795,210609,桃園市,2270971,75234,4579,79813,3.51,89600,10.92
797,210609,臺南市,1871224,45552,607,46159,2.47,48100,4.04
800,210609,彰化縣,1262673,29493,1092,30585,2.42,36400,15.98
802,210609,屏東縣,809765,18632,40,18672,2.31,19200,2.75
799,210609,新竹縣,572422,14051,198,14249,2.49,15200,6.26
801,210609,雲林縣,674622,13967,275,14242,2.11,14300,0.41
805,210609,新竹市,452229,14025,177,14202,3.14,13900,0.00
809,210609,花蓮縣,323441,13578,280,13858,4.28,15100,8.23
807,210609,嘉義市,265416,13133,377,13510,5.09,14900,9.33
804,210609,宜蘭縣,452355,12656,12,12668,2.80,13000,2.55
811,210609,南投縣,489148,10855,279,11134,2.28,11200,0.59
808,210609,嘉義縣,497641,10849,121,10970,2.20,11500,4.61
803,210609,基隆市,367088,10197,388,10585,2.88,12700,16.65
806,210609,苗栗縣,541226,9710,160,9870,1.82,10500,6.00
810,210609,臺東縣,214599,5540,0,5540,2.58,5900,6.10
812,210609,澎湖縣,105905,3227,144,3371,3.18,3700,8.89
813,210609,金門縣,140325,2202,118,2320,1.65,2500,7.20
814,210609,連江縣,13403,1586,308,1894,14.13,2100,9.81
573,210608,臺北市,2581006,137199,4244,141443,5.48,141000,0.00
574,210608,新北市,4027730,116509,131,116640,2.90,106300,0.00
576,210608,臺中市,2820979,93829,535,94364,3.35,89400,0.00
578,210608,高雄市,2760028,87002,142,87144,3.16,83400,0.00
575,210608,桃園市,2270971,71152,4223,75375,3.32,81100,7.06
577,210608,臺南市,1871224,44683,857,45540,2.43,43000,0.00
580,210608,彰化縣,1262673,28793,671,29464,2.33,32500,9.34
582,210608,屏東縣,809765,18496,0,18496,2.28,17400,0.00
579,210608,新竹縣,572422,13803,256,14059,2.46,13600,0.00
585,210608,新竹市,452229,13992,35,14027,3.10,13000,0.00
581,210608,雲林縣,674622,13967,0,13967,2.07,12700,0.00
589,210608,花蓮縣,323441,12820,475,13295,4.11,13200,0.00
587,210608,嘉義市,265416,12803,476,13279,5.00,12600,0.00
584,210608,宜蘭縣,452355,12388,145,12533,2.77,11600,0.00
591,210608,南投縣,489148,10732,124,10856,2.22,9900,0.00
588,210608,嘉義縣,497641,10678,169,10847,2.18,10400,0.00
583,210608,基隆市,367088,9940,52,9992,2.72,11600,13.86
586,210608,苗栗縣,541226,9430,269,9699,1.79,9400,0.00
590,210608,臺東縣,214599,5532,11,5543,2.58,5100,0.00
592,210608,澎湖縣,105905,2982,245,3227,3.05,3400,5.09
593,210608,金門縣,140325,2168,34,2202,1.57,2300,4.26
594,210608,連江縣,13403,1433,153,1586,11.83,2000,20.70
221,210607,臺北市,2581006,130077,4740,134817,5.22,141000,4.39
222,210607,新北市,4027730,115840,660,116500,2.89,106300,0.00
224,210607,臺中市,2820979,92635,171,92806,3.29,89400,0.00
226,210607,高雄市,2760028,86073,473,86546,3.14,83400,0.00
223,210607,桃園市,2270971,67254,3891,71145,3.13,81100,12.27
225,210607,臺南市,1871224,43340,535,43875,2.34,43000,0.00
228,210607,彰化縣,1262673,28167,590,28757,2.28,32500,11.52
230,210607,屏東縣,809765,18376,119,18495,2.28,17400,0.00
229,210607,雲林縣,674622,13967,0,13967,2.07,12700,0.00
233,210607,新竹市,452229,13313,567,13880,3.07,13000,0.00
227,210607,新竹縣,572422,13803,0,13803,2.41,13600,0.00
235,210607,嘉義市,265416,12403,359,12762,4.81,12600,0.00
237,210607,花蓮縣,323441,11954,799,12753,3.94,13200,3.39
232,210607,宜蘭縣,452355,12012,128,12140,2.68,11600,0.00
239,210607,南投縣,489148,10609,123,10732,2.19,9900,0.00
236,210607,嘉義縣,497641,10476,181,10657,2.14,10400,0.00
231,210607,基隆市,367088,9641,0,9641,2.63,11600,16.89
234,210607,苗栗縣,541226,9327,103,9430,1.74,9400,0.00
238,210607,臺東縣,214599,5532,0,5532,2.58,5100,0.00
240,210607,澎湖縣,105905,2762,219,2981,2.81,3400,12.32
241,210607,金門縣,140325,2112,55,2167,1.54,2300,5.78
242,210607,連江縣,13403,1334,99,1433,10.69,2000,28.35
331,210606,臺北市,2581006,117345,10842,128187,4.97,141000,9.09
